0.419608,0.435294,0.411765,0.437365,0.358555,0.365297,0.761111,0.368627,0.644296,0.393294,0.000681265,2.34579e-08,3.21812e-11,19149.5,619.772,0.626475,0,0,0.935263,31.3231
0.419608,0.431373,0.407843,0.432497,0.354531,0.36122,0.761111,0.368627,0.640406,0.393322,0.000688862,2.73173e-08,3.59497e-11,18562,622.843,0.601282,0,0,0.929192,31.3826
0.439216,0.466667,0.431373,0.460393,0.386942,0.389228,0.772222,0.372549,0.639714,0.400152,0.000675954,2.54434e-08,2.82567e-11,17948.5,695.286,0.466563,0,0,0.878107,37.0545
0.435294,0.458824,0.419608,0.458167,0.383372,0.385165,0.772222,0.372549,0.637131,0.398401,0.000679845,2.8493e-08,3.09383e-11,17896,653.931,0.525899,0,0,0.895808,37.308
0.435294,0.470588,0.431373,0.458881,0.386553,0.386946,0.772222,0.372549,0.637716,0.399933,0.000678181,2.75206e-08,3.06037e-11,17918.5,639.831,0.550024,0,0,0.908162,37.4029
0.439216,0.407843,0.313725,0.406457,0.372514,0.336591,0.705556,0.364706,0.563578,0.387489,0.000754842,1.11162e-07,5.02037e-12,15094,702.205,0.384668,0,0,0.802958,32.0083
0.431373,0.403922,0.309804,0.402139,0.367188,0.331658,0.705556,0.364706,0.564973,0.386787,0.00075537,1.11654e-07,4.98798e-12,15056,692.891,0.394084,0,0,0.803179,31.977
0.427451,0.435294,0.388235,0.391632,0.414598,0.400298,0.694444,0.352941,0.566458,0.383678,0.000780486,1.03906e-07,8.75087e-12,13497.5,595.654,0.478052,0,0,0.893046,40.5095
0.415686,0.423529,0.380392,0.38177,0.404492,0.389766,0.694444,0.34902,0.57132,0.382164,0.000791427,1.04799e-07,7.25294e-12,13440.5,680.08,0.365178,0,0,0.82112,40.3733
0.423529,0.427451,0.384314,0.385888,0.407601,0.394741,0.7,0.352941,0.575336,0.38242,0.000787954,1.04636e-07,7.70825e-12,13522.5,637.938,0.417551,0,0,0.853101,40.2888
0.447059,0.447059,0.188235,0.390599,0.390194,0.294646,0.233333,0.509804,0.520171,0.577398,0.000725199,1.01841e-07,4.31263e-12,15879.5,554.791,0.648318,0,0,0.92635,31.3179
0.447059,0.45098,0.188235,0.391818,0.391582,0.295569,0.233333,0.509804,0.521202,0.578136,0.000723796,1.0047e-07,3.70871e-12,15970,558.205,0.644061,0,0,0.922908,31.3619
0.47451,0.584314,0.266667,0.39403,0.486115,0.339476,0.255556,0.635294,0.423535,0.58923,0.000735589,2.02502e-08,4.84025e-11,16087.5,633.418,0.503868,0,0,0.832406,36.0779
